5,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.4,S,3
0.4,S,3
0.4,S,3
0.4,S,3
2.5,M,2
0,M,0
0,M,4
1,S,7
0.4,S,7
0.4,S,7
1,S,5
0.4,S,5
0.4,S,5
3,L,3
0.4,L,2
0.4,L,1
3,L,3
0.4,S,1
0.4,S,2
0.4,S,3
0.4,S,4
2,L,4
0.6,S,5
0.6,S,7
0.6,S,6
0.6,S,8
1,M,1
1,M,2
1,S,0
1,S,3
1,L,4
2,M,0
0,M,1
0,M,2
0,M,3
0,M,4
1,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
1,S,3
0.4,S,3
0.4,S,3
0.4,S,3
0.4,S,3
2.5,M,2
0,M,0
0,M,4
1,S,7
0.4,S,7
0.4,S,7
1,S,5
0.4,S,5
0.4,S,5
3,L,3
0.4,L,2
0.4,L,1
3,L,3
0.4,S,1
0.4,S,2
0.4,S,3
0.4,S,4
2,L,4
0.6,S,5
0.6,S,7
0.6,S,6
0.6,S,8
1,M,1
1,M,2
1,S,0
1,S,3
1,L,4
2,M,0
0,M,1
0,M,2
0,M,3
0,M,4
4,Boss1,4
